file_names,mat-mul-add3.log,mat-mul-add4.log,mat-mul-add10.log,mat-mul-add5.log,mat-mul-add2.log,mat-mul-add1.log,mat-mul-add6.log,mat-mul-add8.log,mat-mul-add9.log,mat-mul-add7.log
cycles,1232896,1232777,1232766,1232776,1232695,1232843,1232559,1232966,1232801,1232670
instret,742959,742959,742959,742959,742959,742959,742959,742959,742959,742959
loads,267612,267612,267612,267612,267612,267612,267612,267612,267612,267612
stores,32591,32591,32591,32591,32591,32591,32591,32591,32591,32591
I$_miss,10,10,10,10,10,10,10,10,10,10
D$_reg_miss,27,27,27,27,27,27,27,27,27,27
D$_prefetch_miss,0,0,0,0,0,0,0,0,0,0
D$_release,11316,11319,11321,11319,11319,11317,11319,11322,11318,11319
ITLB_miss,0,0,0,0,0,0,0,0,0,0
DTLB_miss,0,0,0,0,0,0,0,0,0,0
L2_TLB_miss,0,0,0,0,0,0,0,0,0,0
branches,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926
mispredicts,1313,1313,1312,1310,1312,1313,1312,1309,1312,1312
load_use_interlock,213915,213942,213953,213928,213953,214001,213970,213869,213947,213927
I$_blocked,294,290,288,296,288,288,294,290,290,288
D$_blocked,2962,2933,2877,3002,2901,2898,2953,2831,2994,2889
