file_names,mat-mul-add10x10.log,mat-mul-add15x15.log,mat-mul-add20x20.log,mat-mul-add25x25.log,mat-mul-add30x30.log,mat-mul-add5x5.log
cycles,89815,297358,697962,1232776,2341595,12515
instret,60555,202373,477591,742959,1605224,7890
loads,17367,58132,137297,267612,461827,2252
stores,2261,7271,16881,32591,55901,351
I$_miss,9,10,10,10,10,9
D$_reg_miss,6,4,10,27,73,3
D$_prefetch_miss,0,0,0,0,0,0
D$_release,834,2735,6407,11319,21467,122
ITLB_miss,0,0,0,0,0,0
DTLB_miss,0,0,0,0,0,0
L2_TLB_miss,0,0,0,0,0,0
branches,1221,3856,8841,16926,28861,186
mispredicts,230,489,851,1310,1869,73
load_use_interlock,18300,60556,141953,213928,475096,2482
I$_blocked,250,288,362,296,356,250
D$_blocked,1270,3763,8963,3002,31513,302
