file_names,max-path-sum_0.log,max-path-sum_1.log,max-path-sum_2.log,max-path-sum_3.log,max-path-sum_4.log,max-path-sum_5.log,max-path-sum_6.log,max-path-sum_7.log,max-path-sum_8.log,max-path-sum_9.log,,average,
cycles,1690506,1690636,1690267,1691340,1691324,1690345,1691194,1689765,1690123,1691168,,1690666.8,1.483953424
instret,1139315,1139368,1139226,1139284,1139294,1139369,1139328,1139265,1139269,1139273,,1139299.1,
loads,287150,287150,287150,287150,287150,287150,287150,287150,287150,287150,,287150,
stores,79348,79348,79348,79348,79348,79348,79348,79348,79348,79348,,79348,
I$_miss,20,20,20,20,20,20,20,20,20,20,,20,
D$_reg_miss,589,589,589,589,589,589,589,589,589,589,,589,0.16071029
D$_prefetch_miss,0,0,0,0,0,0,0,0,0,0,,0,
D$_release,16041,16056,16054,16059,16054,16051,16055,16042,16049,16056,,16051.7,
ITLB_miss,0,0,0,0,0,0,0,0,0,0,,0,
DTLB_miss,0,0,0,0,0,0,0,0,0,0,,0,
L2_TLB_miss,0,0,0,0,0,0,0,0,0,0,,0,
branches,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,,49900,
mispredicts,10695,10770,10721,10843,10773,10738,10799,10662,10698,10733,,10743.2,
load_use_interlock,213531,213442,213438,213367,213513,213484,213499,213376,213487,213478,,213461.5,
I$_blocked,708,708,702,704,708,726,758,716,706,704,,714,
D$_blocked,34494,34565,33956,34842,35003,34044,34382,34144,34167,34609,,34420.6,34420.6
